original_note_number,new_note_name,question,ideal_answer,correct_answer,ai_answer,note_answer,timestamp,total_tokens
0,original_note,Question 1: What was the admission diagnosis for the patient?,Breast cancer,B,B,B,2024-12-15 22:29:50,1817672
0,original_note,Question 2: What procedure was performed during the patient's hospitalization?,Left wide local excision with axillary dissection,C,C,C,2024-12-15 22:29:50,1817672
0,original_note,Question 3: What was the discharge diagnosis for the patient?,Breast cancer,C,C,C,2024-12-15 22:29:50,1817672
0,original_note,Question 4: What was the patient's performance status upon discharge?,0 - Fully active,C,C,C,2024-12-15 22:29:50,1817672
0,original_note,Question 5: What was the patient's pain scale upon discharge?,1,B,B,B,2024-12-15 22:29:50,1817672
0,original_note,Question 6: What was the patient's Glasgow Coma Scale score upon discharge?,15,C,C,C,2024-12-15 22:29:50,1817672
0,original_note,Question 7: What type of discharge was recorded for the patient?,Elective discharge,B,B,B,2024-12-15 22:29:50,1817672
0,original_note,Question 8: What was the patient's code status during hospitalization?,Full code,C,C,C,2024-12-15 22:29:50,1817672
0,original_note,Question 9: What comorbidities does the patient have?,Hypertension and ischemic heart disease,B,B,B,2024-12-15 22:29:50,1817672
0,original_note,Question 10: What imaging was performed that showed a nodular thickening of the left adrenal gland?,CAP CT,C,C,C,2024-12-15 22:29:50,1817672
0,original_note,Question 11: What was the patient's active problem during admission?,Elective surgery,B,B,B,2024-12-15 22:29:50,1817672
0,original_note,Question 12: What was the patient's discharge medication status?,No outpatient medications found,C,C,C,2024-12-15 22:29:50,1817672
0,original_note,Question 13: What follow-up appointment was scheduled for the patient?,Surgical oncology clinic,C,C,C,2024-12-15 22:29:50,1817672
0,original_note,Question 14: What was the patient's condition regarding pain control during hospitalization?,Pain control achieved,C,C,C,2024-12-15 22:29:50,1817672
0,original_note,Question 15: What was the patient's genetic test result?,Negative,B,B,B,2024-12-15 22:29:50,1817672
0,original_note,Question 16: What was the patient's mammogram finding in the left breast?,Irregular mass,B,B,B,2024-12-15 22:29:50,1817672
0,original_note,Question 17: What was the patient's mammogram finding in the right breast?,Cystic mass,C,C,C,2024-12-15 22:29:50,1817672
0,original_note,Question 18: What was the patient's bone scan result?,Negative,B,B,B,2024-12-15 22:29:50,1817672
0,original_note,Question 19: What was the patient's advice on diet upon discharge?,Regular diet,C,C,C,2024-12-15 22:29:50,1817672
0,original_note,Question 20: What was the patient's condition regarding vital signs during hospitalization?,Stable vitals,B,B,B,2024-12-15 22:29:50,1817672
0,original_note,Question 1: What was the reason for the patient's hospitalization?,Elective Surgery for Breast Cancer,B,B,B,2024-12-15 22:29:50,1817672
0,original_note,Question 2: What procedure was performed during the patient's hospitalization?,Left Breast Wide Local Excision with Axillary Dissection,B,B,B,2024-12-15 22:29:50,1817672
0,original_note,Question 3: What was the discharge diagnosis for the patient?,Breast Cancer,C,C,C,2024-12-15 22:29:50,1817672
0,original_note,Question 4: What imaging finding required follow-up?,Left adrenal gland nodular thickening,B,B,B,2024-12-15 22:29:50,1817672
0,original_note,Question 5: What was the patient's condition upon discharge?,Performance Status: 0 (Fully Active),D,D,D,2024-12-15 22:29:50,1817672
0,original_note,Question 6: What was the patient's pain scale upon discharge?,1,B,B,B,2024-12-15 22:29:50,1817672
0,original_note,Question 7: What follow-up appointment was scheduled for the patient?,Surgical Oncology Clinic,C,C,C,2024-12-15 22:29:50,1817672
0,original_note,Question 8: What was the patient's discharge date?,"July 1, 2024",B,B,B,2024-12-15 22:29:50,1817672
0,original_note,Question 9: What was the patient's code status during hospitalization?,Full Code,C,C,C,2024-12-15 22:29:50,1817672
0,original_note,Question 10: What was the patient's performance status upon discharge?,0,C,C,C,2024-12-15 22:29:50,1817672
0,original_note,Question 11: What was the patient's discharge type?,Elective,B,B,B,2024-12-15 22:29:50,1817672
0,original_note,Question 12: What was the patient's Glasgow Coma Scale upon discharge?,15,C,C,C,2024-12-15 22:29:50,1817672
0,original_note,Question 13: What was the patient's pain management status during hospitalization?,Managed effectively,B,B,B,2024-12-15 22:29:50,1817672
0,original_note,Question 14: What was the patient's active problem during admission?,Elective Surgery,B,B,B,2024-12-15 22:29:50,1817672
0,original_note,Question 15: What was the patient's discharge medication?,None prescribed,C,C,C,2024-12-15 22:29:50,1817672
