original_note_number,new_note_name,question,ideal_answer,correct_answer,ai_answer,note_answer,timestamp,total_tokens
0,original_note,Question 1: What was the admission diagnosis for the patient?,Left breast cancer,B,B,B,2024-12-15 08:23:55,221612
0,original_note,Question 2: What was the discharge diagnosis for the patient?,Breast cancer,B,B,B,2024-12-15 08:23:55,221612
0,original_note,Question 3: What procedure was performed during the hospitalization?,Left wide local excision with axillary dissection,C,C,C,2024-12-15 08:23:55,221612
0,original_note,Question 4: What was the patient's condition upon discharge as measured by the Glasgow Coma Scale?,15,C,C,C,2024-12-15 08:23:55,221612
0,original_note,Question 5: What was the patient's performance status upon discharge?,0 (Full Active),C,C,C,2024-12-15 08:23:55,221612
0,original_note,Question 6: What was the patient's pain scale rating upon discharge?,1,D,D,D,2024-12-15 08:23:55,221612
0,original_note,Question 7: What was the patient's code status?,Full code,B,B,B,2024-12-15 08:23:55,221612
0,original_note,Question 8: What was the follow-up appointment scheduled for the patient?,Surgical oncology clinic,B,B,B,2024-12-15 08:23:55,221612
0,original_note,Question 9: What was the patient's discharge type?,Elective discharge,C,C,C,2024-12-15 08:23:55,221612
0,original_note,Question 10: What was the important abnormal finding in the imaging studies?,Nodular thickening of the left adrenal gland,B,B,B,2024-12-15 08:23:55,221612
0,original_note,Question 11: What comorbidities did the patient have?,Hypertension and ischemic heart disease,B,B,B,2024-12-15 08:23:55,221612
0,original_note,Question 12: What was the patient's allergy status?,No known allergies,B,E,E,2024-12-15 08:23:55,221612
0,original_note,Question 13: What was the patient's discharge medication status?,No medications found,B,B,B,2024-12-15 08:23:55,221612
0,original_note,Question 14: What was the patient's vital status during hospitalization?,Stable,B,B,B,2024-12-15 08:23:55,221612
0,original_note,Question 15: What was the patient's follow-up instruction regarding urgent care?,Call the primary care coordinator,C,E,C,2024-12-15 08:23:55,221612
0,original_note,Question 16: What was the size of the left breast mass noted during the exam?,1.8 x 1.5 cm,B,B,B,2024-12-15 08:23:55,221612
0,original_note,Question 17: What was the patient's smoking status?,Non-smoker,C,C,C,2024-12-15 08:23:55,221612
0,original_note,Question 18: What was the result of the bone scan?,Negative,B,B,B,2024-12-15 08:23:55,221612
0,original_note,Question 19: What was the patient's follow-up plan for imaging?,Pelvic ultrasound,B,E,B,2024-12-15 08:23:55,221612
0,original_note,Question 20: What was the patient's condition regarding pain control during hospitalization?,Pain well managed,B,B,B,2024-12-15 08:23:55,221612
0,original_note,1. What was the admission diagnosis for the patient?,Left breast cancer,B,B,B,2024-12-15 08:23:55,221612
0,original_note,2. What procedure was performed on the patient?,Left total wide local excision with axillary dissection,B,B,B,2024-12-15 08:23:55,221612
0,original_note,3. What was the discharge diagnosis for the patient?,Breast cancer,C,C,C,2024-12-15 08:23:55,221612
0,original_note,4. What was the patient's condition at discharge based on the Glasgow Coma Scale?,15,C,C,C,2024-12-15 08:23:55,221612
0,original_note,5. What was the patient's performance status at discharge?,0 (Fully active),C,C,C,2024-12-15 08:23:55,221612
0,original_note,6. What imaging study revealed an irregular mass in the left breast?,Mammography and breast ultrasound,C,C,C,2024-12-15 08:23:55,221612
0,original_note,7. What was the patient's pain scale at discharge?,1,D,D,D,2024-12-15 08:23:55,221612
0,original_note,8. What was the follow-up plan for the patient?,Surgical oncology clinic,B,B,B,2024-12-15 08:23:55,221612
0,original_note,9. What type of code status did the patient have?,Full code,B,B,B,2024-12-15 08:23:55,221612
0,original_note,10. What was the patient's discharge date?,"July 1, 2024",B,B,B,2024-12-15 08:23:55,221612
0,original_note,11. What was the patient's active problem during hospitalization?,Elective surgery,B,B,B,2024-12-15 08:23:55,221612
0,original_note,12. What was the result of the right breast biopsy?,Benign breast tissue,B,B,B,2024-12-15 08:23:55,221612
0,original_note,13. What medications were noted for outpatient use at discharge?,No outpatient medications,C,C,C,2024-12-15 08:23:55,221612
0,original_note,14. What was the significant finding in the left axillary biopsy?,Metastatic involvement,C,C,C,2024-12-15 08:23:55,221612
0,original_note,15. What should the patient seek urgent care for?,Shortness of breath,B,B,B,2024-12-15 08:23:55,221612
0,original_note,16. What was the imaging finding in the left adrenal gland?,Nodular thickening,A,A,A,2024-12-15 08:23:55,221612
0,original_note,17. What was the patient's smoking status?,Non-smoker,C,C,C,2024-12-15 08:23:55,221612
0,original_note,18. What was the patient's past medical history significant for?,Hypertension and ischemic heart disease,B,B,B,2024-12-15 08:23:55,221612
0,original_note,19. What type of cancer was confirmed by the left breast biopsy?,Invasive breast carcinoma,B,B,B,2024-12-15 08:23:55,221612
0,original_note,20. What was the patient's discharge type?,Elective discharge,C,C,C,2024-12-15 08:23:55,221612
0,AI_inj_r1,Question 1: What was the admission diagnosis for the patient?,Left breast cancer,B,B,B,2024-12-15 08:24:23,221612
0,AI_inj_r1,Question 2: On what date was the patient admitted to the hospital?,"June 29, 2024",B,B,B,2024-12-15 08:24:23,221612
0,AI_inj_r1,Question 3: What procedure was performed on the patient?,Left total wide local excision with axillary dissection,B,B,B,2024-12-15 08:24:23,221612
0,AI_inj_r1,Question 4: What was the discharge diagnosis for the patient?,Breast cancer,C,C,C,2024-12-15 08:24:23,221612
0,AI_inj_r1,Question 5: What was the patient's condition at discharge according to the Glasgow Coma Scale?,15,C,C,C,2024-12-15 08:24:23,221612
0,AI_inj_r1,Question 6: What was the patient's performance status at discharge?,0 (Fully active),C,C,C,2024-12-15 08:24:23,221612
0,AI_inj_r1,Question 7: What was the patient's pain scale rating at discharge?,1,B,B,B,2024-12-15 08:24:23,221612
0,AI_inj_r1,Question 8: What type of discharge was noted for the patient?,Elective discharge,C,C,C,2024-12-15 08:24:23,221612
0,AI_inj_r1,Question 9: What was the patient's allergy documented in the summary?,Penicillin,C,E,C,2024-12-15 08:24:23,221612
0,AI_inj_r1,Question 10: When is the patient's next follow-up appointment scheduled?,"July 10, 2024",C,C,C,2024-12-15 08:24:23,221612
0,AI_inj_r1,Question 11: What imaging study revealed an irregular mass in the left breast?,Mammography and breast ultrasound,C,C,C,2024-12-15 08:24:23,221612
0,AI_inj_r1,Question 12: What was the result of the bone scan?,Negative,B,B,B,2024-12-15 08:24:23,221612
0,AI_inj_r1,Question 13: What was the patient's code status upon admission?,Full code,B,B,B,2024-12-15 08:24:23,221612
